data_entry,id,trial,movement,number,comment
yuhan,P01,1,outwards,3,
yuhan,P01,2,inwards,10,
yuhan,P01,3,outwards,29,
yuhan,P01,4,inwards,5,
yuhan,P01,5,outwards,6,
yuhan,P01,6,inwards,18,
yuhan,P01,7,outwards,13,
yuhan,P01,8,inwards,14,
yuhan,P01,9,outwards,11,
yuhan,P01,10,inwards,6,
yuhan,P01,11,outwards,10,
yuhan,P01,12,inwards,3,
yuhan,P01,13,outwards,15,
yuhan,P01,14,inwards,16,
yuhan,P01,15,outwards,NA,
yuhan,P01,16,inwards,5,
yuhan,P01,17,outwards,3,
yuhan,P01,18,inwards,4,
yuhan,P01,19,outwards,1,
yuhan,P01,20,inwards,29,
yuhan,P01,21,outwards,25,
yuhan,P01,22,inwards,24,
yuhan,P01,23,outwards,28,
yuhan,P01,24,inwards,13,
yuhan,P01,25,outwards,14,
yuhan,P01,26,inwards,16,
yuhan,P01,27,outwards,NA,
yuhan,P01,28,inwards,11,
yuhan,P01,29,outwards,8,
yuhan,P01,30,inwards,6,
yuhan,P01,31,outwards,1,
yuhan,P01,32,inwards,5,
yuhan,P01,33,outwards,18,
yuhan,P01,34,inwards,17,
yuhan,P01,35,outwards,12,
yuhan,P01,36,inwards,1,
yuhan,P01,37,outwards,3,
yuhan,P01,38,inwards,5,
yuhan,P01,39,outwards,NA,
yuhan,P01,40,inwards,6,
yuhan,P01,41,outwards,8,
yuhan,P01,42,inwards,23,
yuhan,P01,43,outwards,21,
yuhan,P01,44,inwards,14,
yuhan,P01,45,outwards,5,
yuhan,P01,46,inwards,13,
yuhan,P01,47,outwards,11,
yuhan,P01,48,inwards,10,
yuhan,P01,49,outwards,5,
yuhan,P01,50,inwards,NA,
yuhan,P01,51,outwards,NA,
yuhan,P01,52,inwards,3,
yuhan,P01,53,outwards,12,
yuhan,P01,54,inwards,7,
yuhan,P01,55,outwards,24,
yuhan,P01,56,inwards,26,
yuhan,P01,57,outwards,27,
yuhan,P01,58,inwards,8,
yuhan,P01,59,outwards,1,
yuhan,P01,60,inwards,21,
yuhan,P01,61,outwards,2,
yuhan,P01,62,inwards,16,
yuhan,P01,63,outwards,17,
yuhan,P01,64,inwards,3,
yuhan,P01,65,outwards,5,
yuhan,P01,66,inwards,29,
yuhan,P01,67,outwards,26,
yuhan,P01,68,inwards,21,
yuhan,P01,69,outwards,8,
yuhan,P01,70,inwards,7,
yuhan,P01,71,outwards,6,
yuhan,P01,72,inwards,12,
yuhan,P01,73,outwards,8,
yuhan,P01,74,inwards,5,
yuhan,P01,75,outwards,3,
yuhan,P01,76,inwards,2,
yuhan,P01,77,outwards,9,
yuhan,P01,78,inwards,8,
yuhan,P01,79,outwards,5,
yuhan,P01,80,inwards,3,
yuhan,P01,81,outwards,NA,
yuhan,P01,82,inwards,NA,
yuhan,P01,83,outwards,7,
yuhan,P01,84,inwards,12,
yuhan,P01,85,outwards,NA,
yuhan,P01,86,inwards,23,
yuhan,P01,87,outwards,25,
yuhan,P01,88,inwards,18,
yuhan,P01,89,outwards,14,
yuhan,P01,90,inwards,16,
yuhan,P01,91,outwards,8,
yuhan,P01,92,inwards,10,
yuhan,P01,93,outwards,26,
yuhan,P01,94,inwards,NA,
yuhan,P01,95,outwards,NA,
yuhan,P01,96,inwards,NA,
yuhan,P01,97,outwards,NA,
