id,item,question,score,gender
P01,BAG1,I usually gesture a lot when I talk to make my self understood better.,3,female
P01,BAG2,I like talking to people who gesture a lot when they talk.,4,female
P01,BAG3,I've better told before that I gesture a lot when I talk.,1,female
P01,BAG4,I find it more difficult to understand actors when they gesture a lot.,1,female
P01,BAG5,"When talking in noisy places, I often gesture a lot to make myself understood over the noise.",3,female
P01,BAG6,I find it very annoying when I'm talking to someone who gestures a lot during the conversation.,1,female
P01,BAG7,I often feel amazed by people who are able to gesture a lot when they talk.,3,female
P01,BAG8,"When I'm in a foreign country where I don't speak the language so well, I do a lot of gesturing to reinforce what I'm saying.",5,female
P01,BAG9,"During a lecture, it's very distracting to me if the speaker gestures a lot.",1,female
P01,BAG10,"When I see someone gesturing a lot, I often wonder if I would have used the same gestures.",3,female
P01,BAG11,"It looks silly when you see a conversation between two people, and one of them is gesturing a lot.",1,female
P01,BAG12,I like having my hands free when I have a discussion with someone.,3,female
P01,NUM1,How good are you at working with fractions?,5,female
P01,NUM2,How good are you at working with percentages?,5,female
P01,NUM3,How good are you at calculating a 15% tip?,3,female
P01,NUM4,How good are you at figuring out how much a shirt will cost if it is 25% off?,5,female
P01,NUM5,"When reading the newspaper, how helpful do you find tables and graphs that are parts of a story?",6,female
P01,NUM6,"When people tell you the chance of something happening, do you prefer that they use words (""it rarely happens"") or numbers (""there's a 1% chance"")?",4,female
P01,NUM7,"When you hear a weather forecast, do you prefer predictions using percentages (e.g., ""there will be a 20% chance of rain today"") or predictions using only words (e.g., ""there is a small chance of rain today"")?",1,female
P01,NUM8,How often do you find numerical information to be useful?,6,female
P02,BAG1,I usually gesture a lot when I talk to make my self understood better.,3,male
P02,BAG2,I like talking to people who gesture a lot when they talk.,2,male
P02,BAG3,I've better told before that I gesture a lot when I talk.,2,male
P02,BAG4,I find it more difficult to understand actors when they gesture a lot.,2,male
P02,BAG5,"When talking in noisy places, I often gesture a lot to make myself understood over the noise.",4,male
P02,BAG6,I find it very annoying when I'm talking to someone who gestures a lot during the conversation.,4,male
P02,BAG7,I often feel amazed by people who are able to gesture a lot when they talk.,5,male
P02,BAG8,"When I'm in a foreign country where I don't speak the language so well, I do a lot of gesturing to reinforce what I'm saying.",5,male
P02,BAG9,"During a lecture, it's very distracting to me if the speaker gestures a lot.",2,male
P02,BAG10,"When I see someone gesturing a lot, I often wonder if I would have used the same gestures.",4,male
P02,BAG11,"It looks silly when you see a conversation between two people, and one of them is gesturing a lot.",4,male
P02,BAG12,I like having my hands free when I have a discussion with someone.,3,male
P02,NUM1,How good are you at working with fractions?,5,male
P02,NUM2,How good are you at working with percentages?,6,male
P02,NUM3,How good are you at calculating a 15% tip?,6,male
P02,NUM4,How good are you at figuring out how much a shirt will cost if it is 25% off?,6,male
P02,NUM5,"When reading the newspaper, how helpful do you find tables and graphs that are parts of a story?",4,male
P02,NUM6,"When people tell you the chance of something happening, do you prefer that they use words (""it rarely happens"") or numbers (""there's a 1% chance"")?",6,male
P02,NUM7,"When you hear a weather forecast, do you prefer predictions using percentages (e.g., ""there will be a 20% chance of rain today"") or predictions using only words (e.g., ""there is a small chance of rain today"")?",4,male
P02,NUM8,How often do you find numerical information to be useful?,5,male
P03,BAG1,I usually gesture a lot when I talk to make my self understood better.,4,female
P03,BAG2,I like talking to people who gesture a lot when they talk.,4,female
P03,BAG3,I've better told before that I gesture a lot when I talk.,2,female
P03,BAG4,I find it more difficult to understand actors when they gesture a lot.,2,female
P03,BAG5,"When talking in noisy places, I often gesture a lot to make myself understood over the noise.",5,female
P03,BAG6,I find it very annoying when I'm talking to someone who gestures a lot during the conversation.,1,female
P03,BAG7,I often feel amazed by people who are able to gesture a lot when they talk.,1,female
P03,BAG8,"When I'm in a foreign country where I don't speak the language so well, I do a lot of gesturing to reinforce what I'm saying.",5,female
