Participant ID,order,Movement,Number ,comments
P04,1,inwards,12,hard to think of numbers next
P04,2,outwards,23,
P04,3,inwards,24,
P04,4,outwards,11,
P04,5,inwards,10,
P04,6,outwards,4,
P04,7,inwards,8,
P04,8,outwards,7,
P04,9,inwards,23,
P04,10,outwards,27,
P04,11,inwards,28,
P04,12,outwards,19,
P04,13,inwards,12,
P04,14,outwards,10,
P04,15,inwards,4,
P04,16,outwards,30,
P04,17,inwards,29,
P04,18,outwards,21,
P04,19,inwards,11,
P04,20,outwards,12,
P04,21,inwards,14,
P04,22,outwards,15,
P04,23,inwards,20,
P04,24,outwards,23,
P04,25,inwards,26,
P04,26,outwards,30,
P04,27,inwards,2,
P04,28,outwards,4,
P04,29,inwards,10,
P04,30,outwards,30,
P04,31,inwards,23,
P04,32,outwards,26,
P04,33,inwards,12,
P04,34,outwards,14,
P04,35,inwards,15,
P04,36,outwards,20,
P04,37,inwards,11,
P04,38,outwards,9,
P04,39,inwards,4,
P04,40,outwards,8,
P04,41,inwards,7,
P04,42,outwards,2,
P04,43,inwards,3,
P04,44,outwards,23,
P04,45,inwards,28,
P04,46,outwards,30,
P04,47,inwards,12,
P04,48,outwards,14,
P04,49,inwards,13,
P04,50,outwards,21,
P04,51,inwards,29,
P04,52,outwards,25,
P04,53,inwards,15,
P04,54,outwards,6,
P04,55,inwards,20,
P04,56,outwards,17,
P04,57,inwards,27,
P04,58,outwards,22,
P04,59,inwards,12,
P04,60,outwards,10,
P04,61,inwards,9,
P04,62,outwards,5,
P04,63,inwards,2,
P04,64,outwards,22,
P04,65,inwards,12,
P04,66,outwards,14,
P04,67,inwards,16,
P04,68,outwards,29,
P04,69,inwards,18,
P04,70,outwards,30,
P04,71,inwards,1,
P04,72,outwards,10,
P04,73,inwards,12,
P04,74,outwards,14,
P04,75,inwards,16,
P04,76,outwards,20,
P04,77,inwards,24,
P04,78,outwards,29,
P04,79,inwards,13,
P04,80,outwards,30,
P04,81,inwards,,
P04,82,outwards,,
P04,83,inwards,,
P04,84,outwards,,
P04,85,inwards,,
P04,86,outwards,,
P04,87,inwards,,
P04,88,outwards,,
P04,89,inwards,,
P04,90,outwards,,
P04,91,inwards,,
P04,92,outwards,,
P04,93,inwards,,
P04,94,outwards,,
P04,95,inwards,,
P04,96,outwards,,
P04,97,inwards,,
P04,98,outwards,,
P04,99,inwards,,
P04,100,outwards,,
P05,1,inwards,2,The participant guessed that the purpose of the experiment is to investigate how numbers might clustered
P05,2,outwards,11,
P05,3,inwards,21,
P05,4,outwards,5,
P05,5,inwards,29,
P05,6,outwards,13,
P05,7,inwards,10,
P05,8,outwards,1,
P05,9,inwards,9,
P05,10,outwards,12,
P05,11,inwards,22,
P05,12,outwards,28,
P05,13,inwards,26,
P05,14,outwards,14,
P05,15,inwards,3,
P05,16,outwards,11,
P05,17,inwards,8,
P05,18,outwards,24,
P05,19,inwards,25,
P05,20,outwards,6,
P05,21,inwards,1,
P05,22,outwards,29,
P05,23,inwards,30,
P05,24,outwards,21,
P05,25,inwards,23,
P05,26,outwards,16,
P05,27,inwards,18,
P05,28,outwards,14,
P05,29,inwards,17,
P05,30,outwards,9,
P05,31,inwards,7,
P05,32,outwards,4,
P05,33,inwards,5,
P05,34,outwards,20,
P05,35,inwards,25,
P05,36,outwards,15,
P05,37,inwards,19,
P05,38,outwards,4,
P05,39,inwards,6,
P05,40,outwards,3,
P05,41,inwards,1,
P05,42,outwards,7,
P05,43,inwards,9,
P05,44,outwards,11,
P05,45,inwards,22,
P05,46,outwards,25,
P05,47,inwards,29,
P05,48,outwards,13,
P05,49,inwards,15,
P05,50,outwards,19,
P05,51,inwards,11,
P05,52,outwards,20,
P05,53,inwards,1,
P05,54,outwards,7,
P05,55,inwards,9,
P05,56,outwards,12,
P05,57,inwards,15,
P05,58,outwards,26,
P05,59,inwards,12,
P05,60,outwards,8,
P05,61,inwards,24,
P05,62,outwards,29,
P05,63,inwards,27,
P05,64,outwards,15,
P05,65,inwards,8,
P05,66,outwards,3,
P05,67,inwards,1,
P05,68,outwards,16,
P05,69,inwards,19,
P05,70,outwards,23,
P05,71,inwards,27,
P05,72,outwards,16,
P05,73,inwards,12,
P05,74,outwards,13,
P05,75,inwards,5,
P05,76,outwards,2,
P05,77,inwards,9,
P05,78,outwards,7,
P05,79,inwards,7,
P05,80,outwards,13,
P05,81,inwards,12,
P05,82,outwards,,
P05,83,inwards,,
P05,84,outwards,,
P05,85,inwards,,
P05,86,outwards,,
P05,87,inwards,,
P05,88,outwards,,
P05,89,inwards,,
P05,90,outwards,,
P05,91,inwards,,
P05,92,outwards,,
P05,93,inwards,,
P05,94,outwards,,
P05,95,inwards,,
P05,96,outwards,,
P05,97,inwards,,
P05,98,outwards,,
P05,99,inwards,,
P05,100,outwards,,
P06,1,inwards,1,observed a lot of repeated numbers; guessed that the purpose of the experiment is two investigate the correspondance between numbers and gestures
P06,2,outwards,13,
P06,3,inwards,7,
P06,4,outwards,9,
P06,5,inwards,19,
P06,6,outwards,18,
P06,7,inwards,26,
P06,8,outwards,21,
P06,9,inwards,5,
P06,10,outwards,4,
P06,11,inwards,20,
P06,12,outwards,28,
P06,13,inwards,26,
P06,14,outwards,15,
P06,15,inwards,13,
P06,16,outwards,29,
P06,17,inwards,9,
P06,18,outwards,8,
P06,19,inwards,2,
P06,20,outwards,4,
P06,21,inwards,5,
