Participant ID,Age,Undergraduate program,Handedness,Gender,instrument,which instrument,Language,other_language,BAG_1,BAG_2,BAG_3,BAG_4,BAG_5,BAG_6,BAG_7,BAG_8,BAG_9,BAG_10,BAG_11,BAG_12,SNS_1,SNS_2,SNS_3,SNS_4,SNS_5,SNS_6,SNS_7,SNS_8
P01,23,Communication,right,femele,yes,piano,italian,"english, german, spanish",5,4,3,2,5,2,2,5,2,5,2,5,4,2,2,2,5,2,5,5
P02,23,Language and communication,right,male,no,,italian,"english, german, spanish",5,3,5,1,5,2,1,3,1,1,1,1,2,1,1,2,3,5,1,3
P03,24,Communication,right,femele,no,,italian,"english, spanish",4,4,4,3,5,2,2,5,1,2,4,4,2,4,3,4,5,4,5,6
P04,29,Language,right,femele,no,,italian,english,3,3,2,3,4,2,1,3,2,1,1,4,4,1,1,2,3,4,2,5
P05,27,Informatic,right,male,yes,electric bass,italian,"english, french",4,3,2,2,3,2,1,4,1,1,2,2,5,5,4,4,6,6,2,6
P06,22,Communication,right,femele,no,,italian,"english, french",4,3,3,2,5,4,2,3,2,5,4,3,2,2,1,2,5,3,2,6
P07,24,Art,right,femele,no,,italian,english,5,4,4,2,5,2,2,5,2,5,2,5,4,4,6,6,6,3,5,4
P08,29,Semiotic,left,male,no,,italian,"english, german",5,3,4,1,5,1,3,5,1,4,1,5,2,3,2,4,5,2,5,4
P09,25,Informatic,right,male,no,,italian,"english, spanish",2,2,1,1,5,1,2,5,3,1,1,1,4,NA,5,5,6,6,2,6
P10,20,Communication,left,femele,no,,italian,"english, german, spanish",3,2,2,3,3,2,3,3,4,2,4,2,4,3,3,5,4,5,2,2
P11,25,Philosophy ,right,femele,no,,italian,"english, german, spanish",4,4,3,1,4,2,2,4,1,2,1,4,3,1,1,1,3,3,6,3
P12,22,History ,right,femele,yes,guitar,italian,english,5,4,5,2,4,2,2,3,1,2,1,3,2,2,2,2,5,5,2,5
P13,19,Communication,right,femele,no,,italian,spanish,4,3,2,3,4,2,1,3,1,2,2,4,4,3,3,3,4,5,NA,NA
P14,23,Communication,right,male,yes,"guitar, piano",italian,english,3,2,4,2,4,3,4,2,2,1,1,4,5,3,3,3,5,2,5,4
P15,22,Communication,right,femele,no,,italian,"english, german, spanish",4,3,4,1,5,1,1,4,1,1,1,5,5,5,5,4,6,5,2,6
P16,22,Communication,right,femele,no,,italian,NA,5,3,3,1,5,1,1,4,2,4,1,2,2,1,1,1,6,1,6,3
P17,22,Italianistics-Language,right,femele,no,,italian,english,4,3,2,1,5,2,1,5,2,3,2,5,4,4,3,3,5,6,1,6
P18,23,Language,right,femele,no,,italian,"english, russian, french",3,2,2,1,4,3,1,2,1,2,2,3,4,2,2,5,6,2,5,6
P19,20,Communication,right,femele,no,,italian,"english, spanish",3,2,1,2,4,3,2,4,2,1,1,5,4,2,2,3,5,2,2,3
P20,20,Communication,right,femele,no,,italian,"english, spanish",4,3,2,2,4,3,2,4,3,2,3,2,3,2,2,2,4,5,2,5
P21,23,Italianistic-Language,right,femele,yes,"tromb, piano, sax",italian,english,5,4,5,1,4,1,1,5,1,1,1,5,4,5,5,4,5,3,5,4
P22,25,Philosophy ,right,male,no,,italian,NA,3,4,3,2,2,2,3,4,2,2,2,4,5,5,5,4,4,3,4,4
P23,20,Communication,left,femele,no,,italian,"english, spanish",3,2,3,2,4,1,2,2,1,2,1,4,3,3,3,4,5,5,3,4
P24,22,Italianistic-Language,right,femele,no,,italian,"english, french",2,5,1,1,4,1,2,2,1,1,1,4,3,3,1,2,5,2,5,2
P25,25,Linguistics,right,femele,no,,italian,english,3,4,2,1,5,1,1,5,2,2,1,5,2,2,2,3,5,5,5,5
P26,21,Communication,right,femele,no,,italian,english,5,4,5,3,5,2,2,5,2,3,2,4,2,2,3,3,4,2,2,4
P27,25,Linguistics,right,femele,no,,italian,english,5,4,4,2,5,3,2,4,2,4,2,4,5,5,5,5,6,3,5,5
P28,29,Communication,right,male,no,,italian,english,3,3,1,2,4,1,1,2,1,2,4,3,2,5,3,4,5,5,5,5
P29,29,History ,right,male,no,,italian,"english, spanish",3,4,2,1,2,1,1,4,1,2,1,3,4,4,5,5,5,5,6,6
P30,22,Communication,right,male,yes,guitar,italian,english,5,5,5,3,5,1,1,5,1,2,1,4,4,4,4,4,6,1,1,4
P31,33,Communication,right,male,yes,guitar,italian,english,3,4,2,1,4,2,3,4,2,2,2,4,4,4,2,4,5,5,5,5
P32,19,Communication,right,femele,no,,italian,english,5,4,5,4,5,2,1,4,2,4,1,4,3,3,3,3,2,1,3,4
