id,trial,movement,number,
P01,1,inwards,11,
P01,2,outwards,28,
P01,3,inwards,2,
P01,4,outwards,4,
P01,5,inwards,9,
P01,6,outwards,10,
P01,7,inwards,6,
P01,8,outwards,21,
P01,9,inwards,24,
P01,10,outwards,27,
P01,11,inwards,9,
P01,12,outwards,8,
P01,13,inwards,2,
P01,14,outwards,4,
P01,15,inwards,18,
P01,16,outwards,22,
P01,17,inwards,26,
P01,18,outwards,9,
P01,19,inwards,4,
P01,20,outwards,6,
P01,21,inwards,2,
P01,22,outwards,24,
P01,23,inwards,27,
P01,24,outwards,NA,
P01,25,inwards,5,
P01,26,outwards,11,
P01,27,inwards,19,
P01,28,outwards,24,
P01,29,inwards,26,
P01,30,outwards,5,
P01,31,inwards,6,
P01,32,outwards,9,
P01,33,inwards,16,
P01,34,outwards,21,
P01,35,inwards,30,
P01,36,outwards,3,
P01,37,inwards,6,
P01,38,outwards,29,
P01,39,inwards,5,
P01,40,outwards,7,
P01,41,inwards,9,
P01,42,outwards,17,
P01,43,inwards,4,
P01,44,outwards,15,
P01,45,inwards,13,
P01,46,outwards,2,
P01,47,inwards,20,
P01,48,outwards,25,
P01,49,inwards,12,
P01,50,outwards,16,
P01,51,inwards,NA,
P01,52,outwards,NA,
P01,53,inwards,4,
P01,54,outwards,6,
P01,55,inwards,29,
P01,56,outwards,4,
P01,57,inwards,NA,
P01,58,outwards,NA,
P01,59,inwards,11,
P01,60,outwards,7,
P01,61,inwards,19,
P01,62,outwards,4,
P01,63,inwards,5,
P01,64,outwards,NA,
P01,65,inwards,6,
P01,66,outwards,11,
P01,67,inwards,15,
P01,68,outwards,30,
P01,69,inwards,21,
P01,70,outwards,25,
P01,71,inwards,8,
P01,72,outwards,3,
P01,73,inwards,30,
P01,74,outwards,4,
P01,75,inwards,10,
P01,76,outwards,9,
P01,77,inwards,6,
P01,78,outwards,2,
P01,79,inwards,30,
P01,80,outwards,NA,Participant had to take a few breaks during the task. He also missed some beats
P01,81,inwards,4,
P01,82,outwards,7,
P01,83,inwards,19,
P01,84,outwards,22,
P01,85,inwards,4,
P01,86,outwards,7,
P01,87,inwards,NA,
P01,88,outwards,NA,
P01,89,inwards,NA,
P01,90,outwards,NA,
P01,91,inwards,NA,
P01,92,outwards,NA,
P01,93,inwards,NA,
P01,94,outwards,NA,
P01,95,inwards,NA,
P01,96,outwards,NA,
P01,97,inwards,NA,
P01,98,outwards,NA,
P01,99,inwards,NA,
P01,100,outwards,NA,
P02,1,inwards,1,
P02,2,outwards,17,
P02,3,inwards,25,
P02,4,outwards,28,
P02,5,inwards,30,
P02,6,outwards,11,
P02,7,inwards,5,
P02,8,outwards,12,
P02,9,inwards,17,
P02,10,outwards,23,
P02,11,inwards,27,
P02,12,outwards,11,
P02,13,inwards,3,
P02,14,outwards,8,
P02,15,inwards,9,
P02,16,outwards,12,
P02,17,inwards,18,
P02,18,outwards,23,
P02,19,inwards,24,
P02,20,outwards,30,
P02,21,inwards,1,
P02,22,outwards,5,
P02,23,inwards,7,
P02,24,outwards,11,
P02,25,inwards,14,
P02,26,outwards,22,
P02,27,inwards,17,
P02,28,outwards,18,
P02,29,inwards,29,
P02,30,outwards,27,
P02,31,inwards,3,
P02,32,outwards,4,
P02,33,inwards,5,
P02,34,outwards,8,
P02,35,inwards,12,
P02,36,outwards,17,
P02,37,inwards,18,
P02,38,outwards,27,
P02,39,inwards,25,
P02,40,outwards,23,
P02,41,inwards,20,
P02,42,outwards,30,
P02,43,inwards,11,
P02,44,outwards,12,
P02,45,inwards,14,
P02,46,outwards,4,
P02,47,inwards,7,
P02,48,outwards,11,
P02,49,inwards,18,
P02,50,outwards,21,
P02,51,inwards,19,
P02,52,outwards,30,
P02,53,inwards,1,
P02,54,outwards,7,
P02,55,inwards,15,
P02,56,outwards,21,
P02,57,inwards,25,
P02,58,outwards,30,
P02,59,inwards,12,
P02,60,outwards,16,
P02,61,inwards,6,
P02,62,outwards,18,
P02,63,inwards,24,
P02,64,outwards,23,
P02,65,inwards,NA,
P02,66,outwards,12,
P02,67,inwards,15,
P02,68,outwards,17,
P02,69,inwards,18,
P02,70,outwards,19,
P02,71,inwards,NA,
P02,72,outwards,NA,
P02,73,inwards,NA,
P02,74,outwards,22,
P02,75,inwards,17,
P02,76,outwards,15,
P02,77,inwards,11,
P02,78,outwards,7,
P02,79,inwards,6,
P02,80,outwards,5,Fluent but at times the particpant missed some beats.
P02,81,inwards,1,
P02,82,outwards,3,
P02,83,inwards,12,
P02,84,outwards,18,
P02,85,inwards,21,
P02,86,outwards,23,
P02,87,inwards,NA,
P02,88,outwards,NA,
P02,89,inwards,NA,
P02,90,outwards,NA,
P02,91,inwards,NA,
P02,92,outwards,NA,
P02,93,inwards,NA,
P02,94,outwards,NA,
P02,95,inwards,NA,
P02,96,outwards,NA,
P02,97,inwards,NA,
P02,98,outwards,NA,
P02,99,inwards,NA,
P02,100,outwards,NA,
P03,1,inwards,5,
P03,2,outwards,10,
